date,Symbol,rv5_ss,rv10_ss,medrv,rk_twoscale,rsv,rv10,rsv_ss,bv,rk_th2,rk_parzen,open_price,close_time,rv5,bv_ss
2018-01-18 00:00:00+00:00,ShanghaiComposite,7.17E-05,8.50E-05,4.20E-05,2.83E-05,3.23E-05,8.50E-05,3.23E-05,7.56E-05,3.06E-05,3.89E-05,3450.4063,145959,7.17E-05,7.56E-05
2018-01-19 00:00:00+00:00,ShanghaiComposite,4.92E-05,6.19E-05,2.14E-05,2.67E-05,2.19E-05,6.19E-05,2.19E-05,5.62E-05,2.76E-05,2.00E-05,3482.9897,145959,4.92E-05,5.62E-05
2018-01-22 00:00:00+00:00,ShanghaiComposite,5.29E-05,6.42E-05,1.63E-05,2.34E-05,1.89E-05,6.42E-05,1.89E-05,4.77E-05,2.56E-05,4.16E-05,3476.0811,150001,5.29E-05,4.77E-05
2018-01-23 00:00:00+00:00,ShanghaiComposite,8.57E-05,7.68E-05,2.93E-05,3.36E-05,3.64E-05,7.68E-05,3.64E-05,9.38E-05,3.58E-05,8.26E-05,3504.8412,150002,8.57E-05,9.38E-05
2018-01-24 00:00:00+00:00,ShanghaiComposite,5.16E-05,6.30E-05,1.66E-05,3.79E-05,2.62E-05,6.30E-05,2.62E-05,4.74E-05,3.92E-05,5.79E-05,3554.22,145959,5.16E-05,4.74E-05
2018-01-25 00:00:00+00:00,ShanghaiComposite,5.51E-05,4.36E-05,1.93E-05,2.30E-05,3.55E-05,4.36E-05,3.55E-05,5.46E-05,2.37E-05,6.16E-05,3553.4667,150003,5.51E-05,5.46E-05
2018-01-26 00:00:00+00:00,ShanghaiComposite,5.07E-05,4.78E-05,3.07E-05,3.57E-05,2.38E-05,4.78E-05,2.38E-05,5.27E-05,3.59E-05,4.54E-05,3534.9081,145958,5.07E-05,5.27E-05
2018-01-29 00:00:00+00:00,ShanghaiComposite,9.57E-05,0.0001201354899,4.12E-05,3.68E-05,6.32E-05,0.0001201354899,6.32E-05,9.81E-05,3.82E-05,0.0001173794475,3565.5014,150002,9.57E-05,9.81E-05
2018-01-30 00:00:00+00:00,ShanghaiComposite,7.04E-05,6.52E-05,1.82E-05,3.16E-05,3.70E-05,6.52E-05,3.70E-05,6.11E-05,3.20E-05,3.28E-05,3509.6291,150002,7.04E-05,6.11E-05
2018-01-31 00:00:00+00:00,ShanghaiComposite,8.33E-05,7.82E-05,2.79E-05,3.74E-05,3.70E-05,7.82E-05,3.70E-05,7.81E-05,3.86E-05,0.0001070008874,3468.5792,150002,8.33E-05,7.81E-05
